"","blackbullhead","blackcrappie","bowfin","brownbullhead","commoncarp","goldenshiner","greensunfish","largemouthbass","northernpike","rockbass","smallmouthbass","walleye","whitesucker","yellowbullhead","yellowperch","Lepomis","coldwaterspp"
"Marginal AUC",0.918057180387086,0.916202270381837,0.723315444245677,0.712106075742439,0.92636165577342,0.709687281621244,0.779655339263781,0.822629185048391,0.828416347381864,0.897066676601716,0.814144680559833,0.869848301785475,0.863977485928706,0.773226901550601,0.942749054224464,0.894812394812395,0.897931426180014
"Conditional AUC",0.886337048211317,0.988338493292054,0.823283144504075,0.741917173735356,0.902496109554933,0.663010382350005,0.681864989268123,0.906535344208474,0.895338441890166,0.83760540466699,0.712520959518188,0.836957980937038,0.806233062330623,0.845637214423342,0.890037831021436,0.952677952677953,0.910321944220249
