,Blacknosedace,Bluegill,Bluntnoseminnow,Clinchdace,Cottus,Creekchub,Fantaildarter,Northernhogsucker,Rainbowdarter,Redbreastsunfish,Rockbass,Rosysidedace,Snubnosedarter,Stoneroller,Whiteshiner,Whitesucker
Marginal AUC,0.590276993,0.713126844,0.608187135,0.612407211,0.631042435,0.593231455,0.601115538,0.613022426,0.761764706,0.798395722,0.713214821,0.638988671,0.698809524,0.612088628,0.761088249,0.680758199
Conditional AUC,0.959016393,0.897246804,0.95094217,0.877253446,0.804012915,0.882599856,0.83250996,0.925458716,0.988502674,0.930748663,0.932319555,0.861563968,0.95952381,0.848778104,0.914609053,0.886581868
